DAY,TIME,COURT,HOME,AWAY,,,,,,
THUR,9:00 AM,1,QC Ballers - 44,Purple Aces 16U - 56,,,,,,
THUR,9:00 AM,2,Colorado Lady Hawks - 78,A PLUS Black - 74,,,,,,
THUR,9:00 AM,3,ISAA 16U - 38,Katy Rebels Goss 2016 - 55,,,,,,
THUR,9:00 AM,4,New England Crusaders Dorsey - 21,North Tartan 15U - 47,,,,,,
THUR,9:00 AM,5,North Tartan 14U Silver - 44,Illinois Defenders 14U Grey - 36,,,,,,
THUR,9:00 AM,6,Indy Gym Rats Tan - 57,Fencor Peeps - 54,,,,,,
THUR,9:00 AM,7,Full Package Daniel - 58,Legends of Wisconsin 15 - 52,,,,,,
THUR,9:00 AM,8,Rockies 15U Black - 30,Illinois Hustle 15U - 28,,,,,,
THUR,9:00 AM,9,Wisconsin Blizzard 15U Moen - ,Michigan Sting 15U,,,,,,
THUR,9:00 AM,10,Illinois Rockets Rufus - 46,Albany Capitals U15 - 53,,,,,,
THUR,9:00 AM,11,Texas United White - 63,New England Crusaders Leary - 45,,,,,,
THUR,9:00 AM,12,Wisconsin Playground Elite U16 - 50,IL Hoops Dreams 16U White - 60,,,,,,
THUR,9:00 AM,13,Illinois Press - 47,Indy Gym Rats Maroon - 50,,,,,,
THUR,9:00 AM,16,Wisconsin Impact Spoo - 47,Lady Runnin' Rebels Blatt White - 35,,,,,,
THUR,9:00 AM,17,MN Comets 11th Elite Peterson - 55,Oklahoma Showcase Jim - 41,,,,,,
THUR,9:00 AM,18,Jersey Cardinals Coyle - 47,BC Denver Golden - 44,,,,,,
THUR,9:00 AM,19,Illinois Defenders 15U Grey - 48,Metro Hoops 15U - 36,,,,,,
THUR,9:00 AM,20,Team Miller Lightning 15U - 56,Hoosier Premier White - 49,,,,,,
THUR,9:00 AM,21,Team Manitoba 15U - 45,CBC 15/16U - 47,,,,,,
THUR,9:00 AM,22,Lady Runnin’ Rebels White McDonough - 69,Cal Stars Flight 2016 - 44,,,,,,
THUR,9:00 AM,23,NO GAME,NO GAME,,,,,,
THUR,9:00 AM,24,Tennessee Extreme - 48,Illinois Hustle 16U - 60,,,,,,
THUR,9:00 AM,25,Lady Runnin’ Rebels Tartaglia Red - 47,MBA Select 16U - 67,,,,,,
THUR,9:00 AM,26,Kingdom Hoops Elite - 52,Alaska Lady Hoops 14 - 26,,,,,,
THUR,9:00 AM,27,So-Minn Fury 2015 - 57,DFW Elite Wonder Girls - 63,,,,,,
THUR,9:00 AM,28,Hoop Ed Elite - 17,New York City Heat White - 54,,,,,,
THUR,9:00 AM,29,Positive Direction 15U - 23,Memphis Lady All Stars - 50,,,,,,
THUR,9:00 AM,30,MN Metro Stars Soule - 56,Team Memphis Elite Burton - 38,,,,,,
THUR,9:00 AM,31,Team Takeover 15U - 59,Team Ontario 15U - 38,,,,,,
THUR,9:00 AM,32,Purple Aces 14U - 42,Blessed Sacrament - 46,,,,,,
THUR,9:00 AM,33,Capitol City Express Petersen - 48,So-Minn Fury 2016 - 51,,,,,,
THUR,9:00 AM,34,Illinois Defenders 17U Black - 54,Team Alberta U17 - 44,,,,,,
THUR,9:00 AM,35,CBC 14U Elite - 54,North Tartan 13U - 71,,,,,,
THUR,9:00 AM,36,New Jersey Panthers 16U White - 54,Colorado Shine Gold - 36,,,,,,
THUR,9:00 AM,37,Valhalla - 51,Wisconsin Impact 2017 Mattson - 44,,,,,,
THUR,9:00 AM,38,Minnesota Fury 2017 Gold - 59,St. Louis Rockets 15U - 55,,,,,,
THUR,9:00 AM,39,Peak Performance Blue - 35,Michigan Fast Break - 45,,,,,,
THUR,9:00 AM,40,NO GAME,NO GAME,,,,,,
THUR,9:00 AM,41,Colorado Elite Red 14U - 29,KW Lightning U13 - 51,,,,,,
THUR,9:00 AM,42,New Jersey Sparks 15U - 28,Midwest Elite 15U Yates - 63,,,,,,
THUR,9:00 AM,43,Austin Elite Black - 48,Bolingbrook Panthers 16U - 49,,,,,,
THUR,9:00 AM,44,BC Denver Stovall - 47,MN Thunderbirds 2017 - 58,,,,,,
THUR,9:00 AM,45,Erie Saints Laird - 33,Greg Grant Basketball Club Fuerst - 39,,,,,,
THUR,9:00 AM,46,Legends of Wisconsin Blue 17 - 39,Team Fury Select U17 - 34,,,,,,
THUR,10:15 AM,1,Kingdom Hoops Elite 16U - 33,Rockford Heat Select - 36,,,,,,
THUR,10:15 AM,2,Lakers Platinum - 39,Full Package Whitefield - 34,,,,,,
THUR,10:15 AM,3,Colorado Elite White - 9,Oklahoma Stars 16 - 46,,,,,,
THUR,10:15 AM,4,United NJ Gallo - 36,So-Minn Fury 2017 - 50,,,,,,
THUR,10:15 AM,5,Wisconsin Impact 2018 Liebl - 30,MN Thunderbirds 2018 - 40,,,,,,
THUR,10:15 AM,6,Midwest Wildcats Devries - 49,Wisconsin Hoops Select Girls Whitish - 68,,,,,,
THUR,10:15 AM,7,AthElite U15 - 44,Purple Aces 15U - 49,,,,,,
THUR,10:15 AM,8,MBA Select 15U - 33,Cincy Shock 15U - 49,,,,,,
THUR,10:15 AM,9,MBA Select 17U - 40,Philadelphia Belles 17U - 47,,,,,,
THUR,10:15 AM,10,MN Metro Stars Reiter - 36,Basketball Results - 34,,,,,,
THUR,10:15 AM,11,Wisconsin Playground Elite U15 - 30,Capitol City Express Cool/Doneth - 49,,,,,,
THUR,10:15 AM,12,Cardinal Junior Elite - 21,Hurricanes Dalles - 57,,,,,,
THUR,10:15 AM,13,Always 100 Elite 2017 - 50,Team Carolina - 48,,,,,,
THUR,10:15 AM,16,ND Pro 15U Blue - 55,HLC 16U - 51,,,,,,
THUR,10:15 AM,17,Wisconsin Impact Averkamp - 22,Full Package Select - 44,,,,,,
THUR,10:15 AM,18,Crossover Premier Platinum - 39,United NJ Carr-Carolina - 56,,,,,,
